Scenario,Peak,T_peak,T_ctrl,Cum_Risk,IRR%
Baseline,633.4698318677579,52.0,52,9954.099231317721,--
(a) Access gating (-50%),254.22467591429148,52.0,52,4030.45407882969,59.9
(b) Refusal robustness (+40%),232.1813246123104,52.0,52,3689.992870446031,63.3
(c) Double review capacity,591.1062365490594,52.0,52,9394.035408657406,6.7
(d) Red-team quality (+60%),582.8548994449881,52.0,52,9043.881318723608,8.0
(e) Halve oversight delay,648.2609070508,52.0,52,10223.274594505285,-2.3
(f) Combined a+c+d,175.13446264140381,52.0,52,2945.9417363606767,72.4
