Scenario,Peak,T_peak,T_ctrl,Cum_Harm,IRR%
Baseline,2067.828804187513,52.0,52,27160.432455935366,--
(a) Monitor +50%,2033.623067322517,52.0,52,26493.559904842008,1.7
(a) Monitor +100%,2003.2393681362207,52.0,52,25915.40977611961,3.1
(a) Monitor +200%,1945.4036487934443,52.0,52,24847.639910289072,5.9
(b) Halve patch delay,1935.3434100949082,52.0,52,24948.5108661659,6.4
(c) Restrict access (-40%),1556.9090898134864,52.0,52,20201.784768076264,24.7
(d) Halve safeguard delay,1741.52205546274,52.0,52,20862.570936581957,15.8
(e) Monitor+Patch,1857.1441198182024,52.0,52,23527.32534008322,10.2
(f) Access+Safeguard,1235.545502563304,52.0,52,14243.565273424807,40.2
