scenario,week,cyber,cbrn,rogue_autonomy,loss_of_control,hazard_index,cbf_margin,cbf_active,institutional_overload,trust_erosion,adversary_reward
cbf_on,1.0,0.15969137847423553,0.23241710662841797,0.1810782104730606,0.20847994089126587,0.23995502293109894,-0.4988664388656616,1.0,0.45078450441360474,0.5881046056747437,1.8274343013763428
cbf_on,2.0,0.14401154220104218,0.26945269107818604,0.17803791165351868,0.32668280601501465,0.3170967698097229,-0.2658173441886902,1.0,0.6525298357009888,0.6247000694274902,2.3042898178100586
cbf_on,3.0,0.1319124847650528,0.29554712772369385,0.17516613006591797,0.40891212224960327,0.3731861710548401,-0.017346501350402832,1.0,0.7632320523262024,0.6599966287612915,2.58670711517334
cbf_on,4.0,0.12266029417514801,0.3138826787471771,0.1785893589258194,0.46624115109443665,0.4146921932697296,0.1689397692680359,1.0,0.8194647431373596,0.6917697191238403,2.7693002223968506
cbf_on,5.0,0.1157146766781807,0.32673826813697815,0.19221143424510956,0.5092957615852356,0.4463655650615692,0.2831957936286926,1.0,0.847428023815155,0.719748318195343,2.906965494155884
cbf_on,6.0,0.1106155663728714,0.33573684096336365,0.21918149292469025,0.5454123020172119,0.4720229208469391,0.36676985025405884,1.0,0.8626072406768799,0.7443867325782776,3.0258007049560547
cbf_on,7.0,0.10698021948337555,0.34203004837036133,0.2708006501197815,0.5815085768699646,0.49656161665916443,0.3874315023422241,1.0,0.8740513324737549,0.7663164138793945,3.1717352867126465
cbf_on,8.0,0.10447108745574951,0.3464292287826538,0.3592444956302643,0.6246720552444458,0.5222694873809814,0.3601434826850891,1.0,0.8846015930175781,0.7863534092903137,3.365083694458008
cbf_on,9.0,0.10283299535512924,0.34950387477874756,0.4747772812843323,0.6774391531944275,0.5484386086463928,0.32199662923812866,1.0,0.89443039894104,0.804741621017456,3.5848867893218994
cbf_on,10.0,0.1018911674618721,0.3516530990600586,0.5926404595375061,0.7350698113441467,0.5753704309463501,0.2780493199825287,1.0,0.9046989679336548,0.8217856884002686,3.8135154247283936
cbf_on,11.0,0.1015080064535141,0.35315778851509094,0.6918392181396484,0.7910417318344116,0.600570797920227,0.26234450936317444,1.0,0.9136998653411865,0.8375117182731628,4.018938064575195
cbf_on,12.0,0.10156749188899994,0.3542138934135437,0.7601615190505981,0.8393952250480652,0.6232077479362488,0.2619386613368988,1.0,0.9213082790374756,0.8517601490020752,4.178467273712158
cbf_on,13.0,0.10194841027259827,0.3549574017524719,0.8043856620788574,0.8778903484344482,0.6436405777931213,0.28070250153541565,1.0,0.9268775582313538,0.8645020723342896,4.297953128814697
cbf_on,14.0,0.10253354907035828,0.3554835021495819,0.8340882062911987,0.9080814719200134,0.6616327166557312,0.29272541403770447,1.0,0.9312237501144409,0.875698447227478,4.3913679122924805
cbf_on,15.0,0.10326424241065979,0.35585519671440125,0.854588508605957,0.9312847852706909,0.676851212978363,0.31509578227996826,1.0,0.9338464736938477,0.8854592442512512,4.457006931304932
cbf_on,16.0,0.10407666862010956,0.3561144173145294,0.8668182492256165,0.9486467242240906,0.6896890997886658,0.32680827379226685,1.0,0.9360573291778564,0.8939381241798401,4.502001762390137
cbf_on,17.0,0.10489752888679504,0.3562925159931183,0.8714570999145508,0.9604974389076233,0.6995577812194824,0.3480457365512848,1.0,0.9377847909927368,0.9012623429298401,4.532809257507324
cbf_on,18.0,0.1056908518075943,0.35641711950302124,0.874836266040802,0.9679443836212158,0.7076658606529236,0.3691551089286804,1.0,0.9390409588813782,0.9075244665145874,4.553909778594971
cbf_on,19.0,0.10644344985485077,0.3565085232257843,0.8785583972930908,0.9730337858200073,0.7130231261253357,0.4091033637523651,1.0,0.9395253658294678,0.9128565192222595,4.570316791534424
