iteration,steps_seen,adversary_return,peak_cyber,peak_cbrn,peak_rogue,peak_loss_control,min_cbf_margin,cbf_violation_rate,policy_loss
1.0,96.0,35.44853973388672,0.18000000715255737,0.3405023217201233,0.6847195029258728,0.7651417851448059,-0.3669534921646118,0.1458333283662796,-0.013767190277576447
2.0,192.0,34.88777542114258,0.18000000715255737,0.3423251211643219,0.6707819700241089,0.757649302482605,-0.3879711627960205,0.1458333283662796,-0.014967325143516064
3.0,288.0,35.16839599609375,0.18000000715255737,0.350267231464386,0.7173019647598267,0.7750580310821533,-0.4015721082687378,0.1666666716337204,-0.008240207098424435
4.0,384.0,33.471343994140625,0.18000000715255737,0.34467869997024536,0.5784521698951721,0.7126650810241699,-0.3931591510772705,0.1666666716337204,-0.02774549089372158
5.0,480.0,34.445743560791016,0.18000000715255737,0.345541387796402,0.6820713877677917,0.7533656358718872,-0.3778287172317505,0.125,-0.003977882210165262
6.0,576.0,34.98857498168945,0.18000000715255737,0.35050535202026367,0.641635537147522,0.7482948899269104,-0.4045823812484741,0.1666666716337204,-0.01400645449757576
7.0,672.0,34.507511138916016,0.18000000715255737,0.3421212136745453,0.6477699279785156,0.7488676309585571,-0.38432490825653076,0.15625,-0.0031874466221779585
8.0,768.0,33.80104446411133,0.18000000715255737,0.35182052850723267,0.6266385316848755,0.7304143309593201,-0.38925862312316895,0.15625,-0.004346080124378204
9.0,864.0,33.54808807373047,0.18000000715255737,0.34435781836509705,0.5866058468818665,0.713559091091156,-0.3898128271102905,0.1354166716337204,-0.012329845689237118
10.0,960.0,35.63724899291992,0.18000000715255737,0.3401201367378235,0.6436424255371094,0.7540098428726196,-0.3840014934539795,0.1666666716337204,0.0007781783933751285
11.0,1056.0,33.636260986328125,0.18000000715255737,0.3417576551437378,0.5387348532676697,0.7007495164871216,-0.39109694957733154,0.15625,-0.0003922339528799057
12.0,1152.0,35.106998443603516,0.18000000715255737,0.34781375527381897,0.6733307838439941,0.7591148614883423,-0.3819965124130249,0.15625,-0.037807855755090714
13.0,1248.0,34.30272674560547,0.18000000715255737,0.341264933347702,0.6890193819999695,0.753652811050415,-0.3933957815170288,0.1458333283662796,-0.014290105551481247
14.0,1344.0,31.577539443969727,0.18000000715255737,0.3504174053668976,0.3998244106769562,0.6273990869522095,-0.387553334236145,0.1666666716337204,-0.016293762251734734
15.0,1440.0,34.67455291748047,0.18000000715255737,0.34589913487434387,0.6628491282463074,0.7503569722175598,-0.38157176971435547,0.15625,-0.007110614329576492
16.0,1536.0,33.959930419921875,0.18000000715255737,0.3458254933357239,0.5702407360076904,0.7090734839439392,-0.3925907611846924,0.1666666716337204,-0.020079277455806732
17.0,1632.0,33.69900894165039,0.18000000715255737,0.3411823511123657,0.5576532483100891,0.7062925100326538,-0.39203572273254395,0.15625,0.0035566340666264296
18.0,1728.0,34.769657135009766,0.18000000715255737,0.3461350202560425,0.6504093408584595,0.7469133138656616,-0.36903178691864014,0.15625,-0.04721813276410103
19.0,1824.0,33.62196350097656,0.18000000715255737,0.34499025344848633,0.5136004090309143,0.6920624375343323,-0.3970714807510376,0.1666666716337204,0.007212263997644186
20.0,1920.0,33.086307525634766,0.18000000715255737,0.34606194496154785,0.522035539150238,0.6841819882392883,-0.3813520669937134,0.15625,-0.009278960525989532
21.0,2016.0,33.704833984375,0.18000000715255737,0.3441849648952484,0.5854057669639587,0.7095083594322205,-0.3789900541305542,0.1666666716337204,-0.012620903551578522
22.0,2112.0,35.98663330078125,0.18000000715255737,0.34940773248672485,0.6982272863388062,0.769351601600647,-0.39513611793518066,0.1666666716337204,-0.013169881887733936
23.0,2208.0,35.75763702392578,0.18000000715255737,0.3523614704608917,0.7193197011947632,0.7789347171783447,-0.39182162284851074,0.15625,-0.007101766765117645
24.0,2304.0,33.51344680786133,0.18000000715255737,0.3499985337257385,0.5315636992454529,0.6913084983825684,-0.3900320529937744,0.15625,-0.0009386080200783908
25.0,2400.0,34.501834869384766,0.18000000715255737,0.3451318144798279,0.6448389887809753,0.741212010383606,-0.40016353130340576,0.1458333283662796,-0.00727783003821969
26.0,2496.0,31.867877960205078,0.18000000715255737,0.3456411063671112,0.40913471579551697,0.636998176574707,-0.3882848024368286,0.1458333283662796,-0.030795319005846977
27.0,2592.0,33.392303466796875,0.18000000715255737,0.35167181491851807,0.5480073094367981,0.6980462074279785,-0.40756428241729736,0.1666666716337204,-0.009208250790834427
28.0,2688.0,35.419189453125,0.18000000715255737,0.35004371404647827,0.700293779373169,0.7684588432312012,-0.4006844758987427,0.1666666716337204,-0.00459703104570508
29.0,2784.0,32.86909103393555,0.18000000715255737,0.34283360838890076,0.5376248359680176,0.6888825297355652,-0.3851059675216675,0.1666666716337204,-0.027448661625385284
30.0,2880.0,34.533538818359375,0.18000000715255737,0.35483983159065247,0.598099410533905,0.7243977785110474,-0.40009140968322754,0.15625,0.010192043147981167
31.0,2976.0,35.160858154296875,0.18000000715255737,0.35220733284950256,0.6913044452667236,0.76454758644104,-0.37793123722076416,0.15625,-0.023905755952000618
32.0,3072.0,33.538291931152344,0.18000000715255737,0.3459967076778412,0.6036680936813354,0.7174317240715027,-0.39086592197418213,0.15625,0.00395927345380187
33.0,3168.0,34.59089279174805,0.18000000715255737,0.34337007999420166,0.6617760062217712,0.7507413625717163,-0.3782447576522827,0.15625,-0.028513409197330475
34.0,3264.0,32.17812728881836,0.18000000715255737,0.3448697328567505,0.44866466522216797,0.6551011204719543,-0.40013420581817627,0.15625,6.447980558732525e-05
35.0,3360.0,34.44871520996094,0.18000000715255737,0.3447982966899872,0.6169606447219849,0.7316474318504333,-0.38375985622406006,0.1666666716337204,-0.024266915395855904
36.0,3456.0,32.08308792114258,0.18000000715255737,0.3445208966732025,0.42115065455436707,0.6442726254463196,-0.38741791248321533,0.1354166716337204,-0.016949817538261414
37.0,3552.0,35.18022918701172,0.18000000715255737,0.3479302227497101,0.6839467883110046,0.7605214715003967,-0.37469470500946045,0.1666666716337204,-0.028806040063500404
38.0,3648.0,35.367401123046875,0.18000000715255737,0.34460803866386414,0.6916977763175964,0.7669291496276855,-0.40395796298980713,0.1458333283662796,0.002173627493903041
39.0,3744.0,34.70391845703125,0.18000000715255737,0.35521602630615234,0.6178069710731506,0.7359392046928406,-0.39882493019104004,0.1666666716337204,-0.004135002847760916
40.0,3840.0,36.175174713134766,0.18000000715255737,0.3486079275608063,0.7044211626052856,0.778860867023468,-0.38830602169036865,0.1666666716337204,-0.008501425385475159
41.0,3936.0,33.16265869140625,0.18000000715255737,0.3500540256500244,0.516977071762085,0.6845138669013977,-0.3911679983139038,0.15625,-0.01497399341315031
42.0,4032.0,35.07378387451172,0.18000000715255737,0.3561626374721527,0.6250917315483093,0.7395254373550415,-0.3948580026626587,0.1666666716337204,-0.01977240853011608
43.0,4128.0,35.07862854003906,0.18000000715255737,0.35176825523376465,0.6970744729042053,0.7674330472946167,-0.38691723346710205,0.15625,-0.0007071054424159229
44.0,4224.0,33.57595443725586,0.18000000715255737,0.3469459116458893,0.5819090604782104,0.7169072031974792,-0.3807624578475952,0.1666666716337204,-0.03585187718272209
45.0,4320.0,34.586097717285156,0.18000000715255737,0.3517397940158844,0.6086888909339905,0.7323567271232605,-0.38530611991882324,0.1666666716337204,-0.009448987431824207
46.0,4416.0,34.030845642089844,0.18000000715255737,0.34855884313583374,0.6147187948226929,0.7227523326873779,-0.3834620714187622,0.15625,-0.010585129261016846
47.0,4512.0,33.205509185791016,0.18000000715255737,0.34802180528640747,0.5416595339775085,0.6915899515151978,-0.3906242847442627,0.1666666716337204,-0.008670459501445293
48.0,4608.0,35.054378509521484,0.18000000715255737,0.34562647342681885,0.6874143481254578,0.7615084648132324,-0.380773663520813,0.1666666716337204,-0.015369382686913013
49.0,4704.0,34.246116638183594,0.18000000715255737,0.3461344242095947,0.6580456495285034,0.7408066987991333,-0.3893164396286011,0.1458333283662796,-0.02667367458343506
50.0,4800.0,34.88623046875,0.18000000715255737,0.3515624701976776,0.6542956233024597,0.7450562715530396,-0.38451874256134033,0.1458333283662796,-0.021798789501190186
51.0,4896.0,34.165008544921875,0.18000000715255737,0.3542177975177765,0.6210559010505676,0.731542706489563,-0.3734859228134155,0.1458333283662796,0.005040725227445364
52.0,4992.0,34.88214874267578,0.18000000715255737,0.3476804494857788,0.6617385745048523,0.756648600101471,-0.36693060398101807,0.1458333283662796,-0.017430469393730164
53.0,5088.0,34.51158142089844,0.18000000715255737,0.35436850786209106,0.6701133847236633,0.7537820339202881,-0.3775097131729126,0.15625,-0.022506313398480415
54.0,5184.0,34.64287567138672,0.18000000715255737,0.35194164514541626,0.6333016157150269,0.7387104630470276,-0.3938354253768921,0.15625,-0.009454774670302868
55.0,5280.0,34.298526763916016,0.18000000715255737,0.34277909994125366,0.674129843711853,0.7516839504241943,-0.36856961250305176,0.1458333283662796,-0.009941648691892624
56.0,5376.0,32.1645622253418,0.18000000715255737,0.34644725918769836,0.44646984338760376,0.6552563309669495,-0.3827347755432129,0.15625,-0.013801376335322857
57.0,5472.0,33.596702575683594,0.18000000715255737,0.35195428133010864,0.5948862433433533,0.7183757424354553,-0.37237846851348877,0.15625,0.004247449338436127
58.0,5568.0,33.00577163696289,0.18000000715255737,0.34862464666366577,0.5114613771438599,0.6848509907722473,-0.3804231882095337,0.1458333283662796,-0.00849248468875885
59.0,5664.0,34.326419830322266,0.18000000715255737,0.34744390845298767,0.6066635847091675,0.73136967420578,-0.3887859582901001,0.15625,-0.012150831520557404
60.0,5760.0,33.229122161865234,0.18000000715255737,0.3465886414051056,0.5442286729812622,0.6975886821746826,-0.38041722774505615,0.15625,-0.026146329939365387
61.0,5856.0,34.49289321899414,0.18000000715255737,0.35323071479797363,0.6267797946929932,0.7342586517333984,-0.37275636196136475,0.1458333283662796,0.0013014370342716575
62.0,5952.0,33.31612777709961,0.18000000715255737,0.34517791867256165,0.5422406196594238,0.6996437311172485,-0.3763082027435303,0.1666666716337204,-0.02902092970907688
63.0,6048.0,35.11066818237305,0.18000000715255737,0.3538651764392853,0.6596007943153381,0.7547117471694946,-0.38982653617858887,0.1666666716337204,0.02016630582511425
64.0,6144.0,31.833545684814453,0.18000000715255737,0.34893524646759033,0.43067631125450134,0.6411685943603516,-0.37037622928619385,0.15625,-0.014556298963725567
65.0,6240.0,33.588680267333984,0.18000000715255737,0.34582117199897766,0.5758505463600159,0.7099243998527527,-0.38082993030548096,0.1458333283662796,-0.019554637372493744
66.0,6336.0,34.92026901245117,0.18000000715255737,0.34908390045166016,0.6888273358345032,0.7602563500404358,-0.3877612352371216,0.1458333283662796,-0.022070394828915596
67.0,6432.0,34.71847152709961,0.18000000715255737,0.3476390838623047,0.6858305931091309,0.7540937662124634,-0.36655211448669434,0.1458333283662796,-0.014897234737873077
68.0,6528.0,35.192230224609375,0.18000000715255737,0.34524789452552795,0.7162182927131653,0.7690554261207581,-0.37596380710601807,0.1354166716337204,-0.002756464062258601
69.0,6624.0,33.14439010620117,0.18000000715255737,0.3525468409061432,0.5744777917861938,0.7043434977531433,-0.3626471757888794,0.1354166716337204,-0.01923241652548313
70.0,6720.0,34.23844909667969,0.18000000715255737,0.3480921983718872,0.6072748899459839,0.7289959192276001,-0.3622070550918579,0.15625,-0.012294434010982513
71.0,6816.0,31.193500518798828,0.18000000715255737,0.34461623430252075,0.40081021189689636,0.6252680420875549,-0.3731245994567871,0.15625,0.006363862659782171
72.0,6912.0,35.36082077026367,0.18000000715255737,0.34894120693206787,0.6922229528427124,0.7640551328659058,-0.3914722204208374,0.1458333283662796,-0.00015253822493832558
73.0,7008.0,32.98501968383789,0.18000000715255737,0.34441059827804565,0.52226322889328,0.6886299252510071,-0.39309608936309814,0.1354166716337204,-0.03133417293429375
74.0,7104.0,35.018165588378906,0.18000000715255737,0.3496677279472351,0.7242252826690674,0.773642361164093,-0.3753674030303955,0.1458333283662796,-0.022162163630127907
75.0,7200.0,34.691650390625,0.18000000715255737,0.3488701581954956,0.6209489107131958,0.7330340147018433,-0.3727576732635498,0.15625,-0.026797937229275703
