method,terminal_d_cyber_mean,terminal_d_cyber_sd,terminal_d_cbrn_mean,terminal_d_cbrn_sd,terminal_d_rogue_mean,terminal_d_rogue_sd
Heuristic static patching,8.337727922480553e-05,3.019816540472675e-05,1.7597351416043239e-06,6.4277728597517125e-06,5.801906809210777e-06,9.502354259893764e-06
Standard PPO,7.668777834624052e-05,0.00022326964244712144,7.110852948244428e-06,2.1197109163040295e-05,0.00046928279334679246,0.003461764194071293
POMG-DSD + CBF + domain randomization,8.7324260675814e-05,0.0001657883549341932,1.3802332432533149e-06,2.128450978489127e-05,-0.000573345401789993,0.0034346804022789
