method,peak_cyber_mean,peak_cyber_sd,peak_cbrn_mean,peak_cbrn_sd,peak_rogue_mean,peak_rogue_sd,peak_loss_control_mean,peak_loss_control_sd,min_cbf_margin_mean,cbf_violation_rate,alloc_cyber,alloc_cbrn,alloc_epistemic,alloc_governance,alloc_autonomy
Heuristic static patching,0.18000000715255737,0.0,0.3481074869632721,0.01106614526361227,0.8509250283241272,0.031830865889787674,0.8760994076728821,0.020601069554686546,0.5972316861152649,0.109375,0.38259318470954895,0.31325894594192505,0.0944216251373291,0.11530470103025436,0.0944216251373291
Standard PPO,0.18000000715255737,0.0,0.3521837294101715,0.010662084445357323,0.702349066734314,0.1821976751089096,0.7997758388519287,0.08606851100921631,0.6384755373001099,0.0989583358168602,0.11759966611862183,0.17412281036376953,0.26875004172325134,0.2141748070716858,0.2253526747226715
POMG-DSD + CBF + domain randomization,0.18000000715255737,0.0,0.35127583146095276,0.011263527907431126,0.7658675909042358,0.14811262488365173,0.8282251954078674,0.0714331567287445,0.6237835884094238,0.1006944477558136,0.1647637039422989,0.32463139295578003,0.1625072956085205,0.17766159772872925,0.17043602466583252
