Scenario,Peak,T_peak,T_ctrl,Cum_Risk,IRR%
Baseline,633.4698318677579,52.0,52,9954.099231317721,--
(a) Access gating (-50%),254.2246759142915,52.0,52,4030.45407882969,59.9
(b) Refusal robustness (+40%),232.18132461231033,52.0,52,3689.99287044603,63.3
(c) Double review capacity,591.1062365490598,52.0,52,9394.035408657408,6.7
(d) Red-team quality (+60%),582.8548994449881,52.0,52,9043.88131872361,8.0
(e) Halve governance time constant,648.2609070508,52.0,52,10223.274594505285,-2.3
(f) Combined a+c+d,175.13446264140381,52.0,52,2945.941736360677,72.4
