Scenario,Peak,T_peak,T_ctrl,Cum_Harm,IRR%
Baseline,2067.828804187513,52.0,52,27160.432455935363,--
(a) Monitor +50%,2033.623067322517,52.0,52,26493.559904842008,1.7
(a) Monitor +100%,2003.2393681362173,52.0,52,25915.40977611958,3.1
(a) Monitor +200%,1945.4036487934436,52.0,52,24847.63991028907,5.9
(b) Halve patch delay,1935.343410094909,52.0,52,24948.510866165903,6.4
(c) Restrict access (-40%),1556.9090898134868,52.0,52,20201.784768076264,24.7
(d) Halve safeguard delay,1741.52205546274,52.0,52,20862.570936581957,15.8
(e) Monitor+Patch,1857.1441198182024,52.0,52,23527.325340083225,10.2
(f) Access+Safeguard,1235.5455025633034,52.0,52,14243.565273424807,40.2
