iteration,defender_return,adversary_return,peak_cyber,peak_cbrn,peak_rogue,peak_loss_control,min_cbf_margin,cbf_violation_rate,defender_policy_loss,adversary_policy_loss
1.0,-31.869647979736328,31.333911895751953,0.18000000715255737,0.3429015576839447,0.5180994272232056,0.656941294670105,0.7227751016616821,0.0833333358168602,-0.003254250856116414,-0.02818457782268524
2.0,-32.012569427490234,31.481060028076172,0.18000000715255737,0.3429866135120392,0.5441946983337402,0.6678258776664734,0.7182891964912415,0.0833333358168602,-0.03421621397137642,-0.015471669845283031
3.0,-30.885517120361328,30.339012145996094,0.18000000715255737,0.3429497480392456,0.3949616551399231,0.6036744117736816,0.745270311832428,0.0833333358168602,-0.0062421471811831,-0.013743332587182522
4.0,-31.63140869140625,31.079599380493164,0.18000000715255737,0.34287235140800476,0.47746574878692627,0.6397103667259216,0.7290945649147034,0.0833333358168602,-0.014207343570888042,-0.03304247185587883
5.0,-32.08909225463867,31.54827880859375,0.18000000715255737,0.3429489731788635,0.5363953709602356,0.6647061109542847,0.7199923992156982,0.0833333358168602,-0.004833714570850134,0.007463845890015364
6.0,-31.084007263183594,30.536287307739258,0.18000000715255737,0.3429587781429291,0.44635123014450073,0.6249820590019226,0.736824631690979,0.0833333358168602,-0.018759584054350853,-0.01781001314520836
7.0,-31.192615509033203,30.63176727294922,0.18000000715255737,0.3429986536502838,0.419554203748703,0.6195270419120789,0.7401027679443359,0.0833333358168602,-0.019583506509661674,-0.0034324873704463243
8.0,-31.0862979888916,30.534818649291992,0.18000000715255737,0.34293895959854126,0.43396323919296265,0.6209841966629028,0.738836944103241,0.0833333358168602,-0.004124374594539404,-0.028776198625564575
9.0,-31.46082305908203,30.9129581451416,0.18000000715255737,0.34299489855766296,0.5146133899688721,0.650850236415863,0.7256443500518799,0.0833333358168602,-0.023270921781659126,-0.020598676055669785
10.0,-31.757923126220703,31.186676025390625,0.18000000715255737,0.34292617440223694,0.5089596509933472,0.6541191935539246,0.7244946956634521,0.0833333358168602,-0.02248801290988922,-0.007287794258445501
11.0,-33.44645690917969,32.87120819091797,0.18000000715255737,0.34288161993026733,0.6734803915023804,0.7314742207527161,0.6948480010032654,0.0833333358168602,-0.004785512108355761,0.007213190197944641
12.0,-31.716880798339844,31.147775650024414,0.18000000715255737,0.34290483593940735,0.5271947383880615,0.6606661081314087,0.7223473787307739,0.0833333358168602,0.0019414412090554833,-0.012455017305910587
13.0,-32.11266326904297,31.53851318359375,0.18000000715255737,0.3429257869720459,0.5126075148582458,0.6617305278778076,0.7224268317222595,0.0833333358168602,-0.017734521999955177,-0.026212962344288826
14.0,-31.937997817993164,31.35952377319336,0.18000000715255737,0.34292012453079224,0.5284090638160706,0.6641164422035217,0.7211717367172241,0.0833333358168602,-0.0029638607520610094,-0.0065892222337424755
15.0,-31.785987854003906,31.203920364379883,0.18000000715255737,0.342970073223114,0.5197921991348267,0.6556581854820251,0.7238809466362,0.0833333358168602,-0.005243505816906691,0.0001920337526826188
16.0,-32.1334228515625,31.546125411987305,0.18000000715255737,0.34298455715179443,0.5732795000076294,0.6777539253234863,0.7139792442321777,0.0833333358168602,-0.008447171188890934,-0.035806018859148026
