amplifier,lambda,peak_cyber_mean,peak_cyber_sd,peak_cbrn_mean,peak_cbrn_sd,peak_trust_erosion_mean,peak_overload_mean
lambda_disinfo,0.0,0.18000000715255737,0.0,0.3501371741294861,0.012302729301154613,0.9307313561439514,0.8327106833457947
lambda_disinfo,0.1,0.18000000715255737,0.0,0.34940028190612793,0.011434054002165794,0.9317361116409302,0.8413848876953125
lambda_disinfo,0.2,0.18000000715255737,0.0,0.348402202129364,0.010293819941580296,0.9307551980018616,0.8458900451660156
lambda_disinfo,0.3,0.18000000715255737,0.0,0.34935855865478516,0.011044012382626534,0.9318559169769287,0.8542840480804443
lambda_disinfo,0.4,0.18000000715255737,0.0,0.3521113991737366,0.011174638755619526,0.931885838508606,0.8596670627593994
lambda_disinfo,0.5,0.18000000715255737,0.0,0.3497639000415802,0.011080674827098846,0.9318607449531555,0.8648043870925903
lambda_disinfo,0.6,0.18000000715255737,0.0,0.35106056928634644,0.011329231783747673,0.9321868419647217,0.8702093362808228
lambda_disinfo,0.7,0.18000000715255737,0.0,0.34952202439308167,0.010843616910278797,0.9322521090507507,0.8747762441635132
lambda_disinfo,0.8,0.18000000715255737,0.0,0.35054534673690796,0.010602801106870174,0.9323195815086365,0.8789647221565247
lambda_disinfo,0.9,0.18000000715255737,0.0,0.3482394516468048,0.009685150347650051,0.9319524765014648,0.8820416927337646
lambda_disinfo,1.0,0.18000000715255737,0.0,0.3482234477996826,0.012653394602239132,0.9316077828407288,0.8850402235984802
lambda_bias,0.0,0.18000000715255737,0.0,0.35079002380371094,0.011048332788050175,0.9323780536651611,0.8362183570861816
lambda_bias,0.1,0.18000000715255737,0.0,0.3501532971858978,0.011289031244814396,0.9320312738418579,0.8379009366035461
lambda_bias,0.2,0.18000000715255737,0.0,0.34974026679992676,0.011022260412573814,0.9310305118560791,0.8401695489883423
lambda_bias,0.3,0.18000000715255737,0.0,0.35038602352142334,0.011865724809467793,0.9319738149642944,0.8450993299484253
lambda_bias,0.4,0.18000000715255737,0.0,0.34889668226242065,0.011273762211203575,0.9319576025009155,0.848283588886261
lambda_bias,0.5,0.18000000715255737,0.0,0.3488759398460388,0.011185829527676105,0.9319549202919006,0.8506330847740173
lambda_bias,0.6,0.18000000715255737,0.0,0.3517802655696869,0.01091407798230648,0.9321873188018799,0.8544270992279053
lambda_bias,0.7,0.18000000715255737,0.0,0.34932267665863037,0.010164765641093254,0.9324461221694946,0.8566487431526184
lambda_bias,0.8,0.18000000715255737,0.0,0.34901168942451477,0.009981244802474976,0.9316400289535522,0.8583189845085144
lambda_bias,0.9,0.18000000715255737,0.0,0.34932851791381836,0.010755738243460655,0.93277907371521,0.8628959059715271
lambda_bias,1.0,0.18000000715255737,0.0,0.35112032294273376,0.01099102757871151,0.9323841333389282,0.8649139404296875
lambda_econ,0.0,0.18000000715255737,0.0,0.3501169979572296,0.010563571937382221,0.9316926002502441,0.8344371914863586
lambda_econ,0.1,0.18000000715255737,0.0,0.3511435389518738,0.010731942020356655,0.9314742088317871,0.8474072813987732
lambda_econ,0.2,0.18000000715255737,0.0,0.35043030977249146,0.011044046841561794,0.9330810308456421,0.861172616481781
lambda_econ,0.3,0.18000000715255737,0.0,0.35241881012916565,0.011362931691110134,0.933128297328949,0.8724510669708252
lambda_econ,0.4,0.18000000715255737,0.0,0.34897539019584656,0.01143093965947628,0.9324372410774231,0.878812849521637
lambda_econ,0.5,0.18000000715255737,0.0,0.3525524437427521,0.012055457569658756,0.9338750243186951,0.8902109265327454
lambda_econ,0.6,0.18000000715255737,0.0,0.34913721680641174,0.01121535338461399,0.932914137840271,0.8953235149383545
lambda_econ,0.7,0.18000000715255737,0.0,0.3498382568359375,0.012088487856090069,0.9334976673126221,0.9019544720649719
lambda_econ,0.8,0.18000000715255737,0.0,0.35152190923690796,0.01202402263879776,0.9344489574432373,0.9100951552391052
lambda_econ,0.9,0.18000000715255737,0.0,0.35039037466049194,0.011822190135717392,0.934400200843811,0.9141332507133484
lambda_econ,1.0,0.18000000715255737,0.0,0.34939801692962646,0.010915733873844147,0.9344752430915833,0.9190455675125122
