Delete_ML_Edges_Pct,Top5_Overlap_Mean,Spearman_Rho_Mean,Trust_Erosion_Top10_Pct,Institutional_Overload_Top10_Pct,Path_Ratio_Mean
25,3.21,0.8511190569516255,98.0,95.0,11.650267988031464
50,1.99,0.739256505931819,67.0,83.0,9.785897236862532
